title,company,location,apply_link
라인프렌즈 2022년 각 부문 수시,라인프렌즈,서울 용산구,https://kr.indeed.com/rc/clk?jk=1015284880e2ff62&fccid=b6f22bcb6078a2c4&vjs=3
2022년 메타버스 아카데미 1기 교육생,한국전파진흥협회,성남 분당구,https://kr.indeed.com/rc/clk?jk=4a678bc862e55348&fccid=4f2ea8d6d8ab34ba&vjs=3
한국필립모리스 2022년 상반기 수시,한국필립모리스㈜,서울 영등포구,https://kr.indeed.com/rc/clk?jk=44e9ac7f0f94e784&fccid=fb7e65f74b012d18&vjs=3
LG전자,경력,서울 영등포구+1 지역,https://kr.indeed.com/rc/clk?jk=2d2c696e882f71b5&fccid=3f9f08fb4aff7eea&vjs=3
LG이노텍,경력,서울 강서구,https://kr.indeed.com/rc/clk?jk=b2aa32e1466e02d1&fccid=3f9f08fb4aff7eea&vjs=3
LG전자,인턴,서울특별시,https://kr.indeed.com/rc/clk?jk=dd17ecce14793625&fccid=9fd380da59f844d6&vjs=3
각 부문별,네이버제트,성남 분당구,https://kr.indeed.com/rc/clk?jk=ca86fbbb2d63efd3&fccid=bc34e4450e078d19&vjs=3
각 부문별,Siemens Ltd. Seoul,서울 서대문구,https://kr.indeed.com/rc/clk?jk=dbbd8128c4949d62&fccid=ea6bb53f0b18b8f2&vjs=3
"Student Researcher Intern, 2022",Google,서울,https://kr.indeed.com/rc/clk?jk=6dd48f3771d01215&fccid=a5b4499d9e91a5c6&vjs=3
각 부문별,KB데이타시스템,서울 마포구,https://kr.indeed.com/rc/clk?jk=42a2aede5f0d0880&fccid=fe227fbd2afb9580&vjs=3
SW 분야 상시,한화시스템,성남 분당구,https://kr.indeed.com/rc/clk?jk=62dac7c94197e83c&fccid=46ba4635611e86ea&vjs=3
각 부문별,십일번가,서울 중구,https://kr.indeed.com/rc/clk?jk=b773011b209ae03b&fccid=54911ff2dce6c429&vjs=3
각 부문별,직방,서울 종로구,https://kr.indeed.com/rc/clk?jk=89fab436b9d0fd20&fccid=750d792cf813d448&vjs=3
2022년 직원,엔에이치선물,서울 영등포구,https://kr.indeed.com/rc/clk?jk=7f6ac72c1faa8f77&fccid=8c476b3f192227fd&vjs=3
"Software Engineering Intern, 2022",구글코리아,서울 강남구,https://kr.indeed.com/rc/clk?jk=1e052c5f8de98657&fccid=28712efe9a7c8d8a&vjs=3
2022년 1기 하이테크(심화모듈) 과정,한국폴리텍대학분당융합기술교육원,성남 분당구,https://kr.indeed.com/rc/clk?jk=7a8db8b6b903491d&fccid=0e6cbd3a7d3c7896&vjs=3
2022년 새일직업교육훈련 교육생,용산여성인력개발센터,서울 용산구,https://kr.indeed.com/rc/clk?jk=fbed10c0a508a8b7&fccid=52b3dacfe16a5f4b&vjs=3
[신용리스크모델링] 개인/개인사업자 신용평가모형 개발 및 운영 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=1aaf77e69d97391e&fccid=aea6a13a3459fdb2&vjs=3
[고객서비스] 데이터 분석 및 예측모형 개발 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/rc/clk?jk=fb144d2f495e2b79&fccid=aea6a13a3459fdb2&vjs=3
[NICE평가정보]상반기 신입/경력 직원 수시,나이스평가정보,서울 영등포구,https://kr.indeed.com/rc/clk?jk=af67b6d514cf9a63&fccid=1eee1d17fecc4bbe&vjs=3
[NAVER Z] 데이터 엔지니어,네이버제트,성남 분당구,https://kr.indeed.com/rc/clk?jk=50028daa2c74bdc3&fccid=bc34e4450e078d19&vjs=3
각 부문별,드림어스컴퍼니,서울 서초구,https://kr.indeed.com/rc/clk?jk=89da943e9a11af36&fccid=d5dc18a57ad82f07&vjs=3
[LX세미콘] 2022년 4월 경력사원,엘엑스세미콘,대전 유성구,https://kr.indeed.com/rc/clk?jk=2023ab73de6a2e7b&fccid=f08d65b15391c27f&vjs=3
"자율 주행, 로봇 SW 개발자",에바,성남 수정구,https://kr.indeed.com/rc/clk?jk=e30fe92d72ceb17c&fccid=5cc87f5890bd7170&vjs=3
"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",가치랩스,성남 분당구,https://kr.indeed.com/rc/clk?jk=5ea9ea023c6ccc03&fccid=2c37c13a0926862d&vjs=3
[마비노기모바일] 연구 개발 프로그래머,데브캣,서울 강남구,https://kr.indeed.com/rc/clk?jk=f0c7c08485085240&fccid=54fae5dfae67ca77&vjs=3
소프트웨어개발 경력무관 (정규직),보다텍,서울 성동구,https://kr.indeed.com/rc/clk?jk=316ac12533b5c779&fccid=0bbf5173a46fa5a0&vjs=3
데이터분석가 - Global Leading Consulting Firm,에스에프인촌,서울,https://kr.indeed.com/rc/clk?jk=5f5242f36639cd8e&fccid=629bf66c8ed71fe3&vjs=3
코딩에 빠진 수퍼 개발자 (펌웨어 개발),에바,성남 수정구,https://kr.indeed.com/rc/clk?jk=f54bac6c78fd3240&fccid=5cc87f5890bd7170&vjs=3
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/rc/clk?jk=78e99625e5de3c95&fccid=e34932b8232a173b&vjs=3
AI Backend 시스템 개발 전문가,에스케이텔레콤,서울 중구,https://kr.indeed.com/rc/clk?jk=552d19ff588db14f&fccid=ce2f0f28b40a5be8&vjs=3
SW 분야 상시 채용,한화그룹,서울,https://kr.indeed.com/rc/clk?jk=ff65b0301d703f24&fccid=bd0dc1817223394f&vjs=3
